id,record_date_from,allegiance,person,county,parish,latlng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6378,1645/7/8,Parliamentarian,"Thomas Holmes, North Riding of Yorkshire",,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10250,1645/8/2,Parliamentarian,"Edward Hunt, Nottinghamshire",,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5753,1646/0/,Parliamentarian,"Mistress Busset of Colchester, Essex",essex,0,"51.8959,0.8919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110,1646/10/10,Parliamentarian,"Winnifred Badge, Nottinghamshire",,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109,1646/10/10,Parliamentarian,"Mary Alcocke, Nottinghamshire",,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108,1646/10/10,Parliamentarian,"Widow Rowland, Nottinghamshire",,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106,1646/10/10,Parliamentarian,"William Skinner, Nottinghamshire",,,",","Nottinghamshire County Committee Treasurers&#8217; Accounts, 1645 to 1648",The National Archives,SP 28/240,"Nottinghamshire County Committee Treasurer&#8217;s Payments, 10 October 1646",no,1646/10/10,/0/,county_committee,,city,england,nottingham,0,"52.9534,-1.14955","Thomas Keywood, Nottinghamshire",unknown,Thomas,Keywood,,male,,unknown,soldier,soldier_trooper,,,,,",",yes,3,7,0,804,no,,,,10106,"Nottinghamshire County Committee Treasurers&#8217; Accounts, 1645 to 1648",The National Archives,SP 28/240,"Nottinghamshire County Committee Treasurer&#8217;s Payments, 10 October 1646",no,1646/10/10,/0/,county_committee,,city,england,nottingham,0,"52.9534,-1.14955","Richard Needham, Nottinghamshire",unknown,Richard,Needham,,male,,unknown,soldier,soldier_trooper,,,,,",",yes,3,7,0,804,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6878,1646/10/15,Parliamentarian,"Molcolm Mordo, Dorset",,,",","Dorset County Committee Order Book, 23 September 1646 to 8 May 1650",,"C.H. Mayo (ed.), The Minute Books of the Dorset Standing Committee, 23 September 1646 to 8 May 1650 (Exeter, 1902). ","Dorset County Committee, Dorchester, 15 October 1646",no,1646/10/15,/0/,county_committee,,town,england,dorset,0,"50.7107,-2.44020","Andrew Leach, Dorset (1)",unknown,Andrew,Leach,,male,,unknown,soldier,unknown,,,,,",",yes,0,0,0,0,yes,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6879,1646/10/15,Parliamentarian,"Evan Moore, Dorset",,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6873,1646/10/16,Parliamentarian,"John Cobbe, Dorset",,,",","Dorset County Committee Order Book, 23 September 1646 to 8 May 1650",,"C.H. Mayo (ed.), The Minute Books of the Dorset Standing Committee, 23 September 1646 to 8 May 1650 (Exeter, 1902). ","Dorset County Committee, Dorchester, 16 October 1646",no,1646/10/16,/0/,county_committee,,town,england,dorset,0,"50.7107,-2.44020","Mary Cobbe, Dorset",unknown,Mary,Cobbe,,female,"Wife of John Cobbe. Her son, Joseph Cuffe of Dorchester, had served as a trooper in the parliamentarian army under the command of Colonel Brune for the space of one year. He contracted a disease during his service, and was maintained by his parents during his illness. He eventually succumbed to the disease, and at his death was owed £25 10s in outstanding wages for his service. He bequeathed his arrears of pay to Mary.     ",unknown,civilian,,,,,,",",yes,20,0,0,4800,yes,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
